param_name,layer_type,shape,numel,bits_quant,raw_bytes,mse_post,nmse_post,compressed_bytes,compression_ratio,compression_gain_pct,bits_per_element,encode_time,decode_time
bert_encoder_layer_9_attention_self_query_bias,Bias,"768",768,12,1152,27.9323,11.3328,806,1.42928,30.0347,8.39583,2.1947,2.178
bert_encoder_layer_9_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0617913,0.247165,449777,1.31137,23.7439,6.10049,1392.46,1319.78
bert_encoder_layer_9_attention_self_key_bias,Bias,"768",768,12,1152,0.00130208,0.00520833,1496,0.770053,-29.8611,15.5833,2.4553,2.2649
bert_encoder_layer_9_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.076945,0.30778,412205,1.4309,30.1139,5.59089,1332.5,1287.64
bert_encoder_layer_9_attention_self_value_bias,Bias,"768",768,12,1152,36.8464,7.6786,728,1.58242,36.8056,7.58333,2.1581,2.5997
bert_encoder_layer_9_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00439962,0.0175985,1006536,0.878991,-13.7668,13.652,1816.81,1766.3
bert_encoder_layer_9_attention_output_dense_bias,Bias,"768",768,12,1152,0.00651042,0.0260417,1333,0.864216,-15.7118,13.8854,2.4426,2.3384
bert_encoder_layer_9_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,0.0104167,0.0416667,581,1.98279,49.566,6.05208,1.9701,1.9435
bert_encoder_layer_9_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,41.168,4.96779,687,1.67686,40.3646,7.15625,2.1336,1.9496
bert_encoder_layer_9_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.00795873,0.0318349,3434318,1.03046,2.95642,11.6452,7187.98,6980.16
bert_encoder_layer_9_intermediate_dense_bias,Bias,"3072",3072,12,4608,220.931,2.91707,2579,1.78674,44.0321,6.71615,7.3329,7.3525
bert_encoder_layer_9_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0302679,0.121072,2350084,1.50588,33.5936,7.96876,6874.92,6640.55
bert_encoder_layer_9_output_dense_bias,Bias,"768",768,12,1152,0.00130208,0.00520833,1384,0.83237,-20.1389,14.4167,2.4228,2.269
bert_encoder_layer_9_output_LayerNorm_weight,Weight,"768",768,12,1152,87.332,0.00798521,767,1.50196,33.4201,7.98958,2.3102,2.5821
bert_encoder_layer_9_output_LayerNorm_bias,Bias,"768",768,12,1152,167.461,75.289,660,1.74545,42.7083,6.875,1.9146,1.856
bert_encoder_layer_10_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0626882,0.250753,450217,1.31009,23.6693,6.10646,1376.86,1317.6
bert_encoder_layer_10_attention_self_query_bias,Bias,"768",768,12,1152,34.0417,7.05134,737,1.56309,36.0243,7.67708,2.0466,1.9693
bert_encoder_layer_10_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0626526,0.25061,449859,1.31113,23.73,6.1016,1377.88,1299.1
bert_encoder_layer_10_attention_self_key_bias,Bias,"768",768,12,1152,0.00130208,0.00520833,1528,0.753927,-32.6389,15.9167,2.4093,2.3762
bert_encoder_layer_10_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0764262,0.305705,415306,1.42022,29.5881,5.63295,1331.66,1268.92
bert_encoder_layer_10_attention_self_value_bias,Bias,"768",768,12,1152,0.00390625,0.015625,1223,0.941946,-6.16319,12.7396,2.3461,2.2758
bert_encoder_layer_10_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00347731,0.0139092,1063878,0.831614,-20.2481,14.4298,1827.62,1733.79
bert_encoder_layer_10_attention_output_dense_bias,Bias,"768",768,12,1152,0,0,1602,0.719101,-39.0625,16.6875,2.4255,2.2969
bert_encoder_layer_10_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,0.00520833,0.0208333,582,1.97938,49.4792,6.0625,1.9069,2.4157
bert_encoder_layer_10_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,10.0391,5.06135,672,1.71429,41.6667,7,2.039,2.5689
bert_encoder_layer_10_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.0161298,0.0645192,3041434,1.16358,14.0581,10.313,7028.53,6736.31
bert_encoder_layer_10_intermediate_dense_bias,Bias,"3072",3072,12,4608,180.103,0.369875,2711,1.69974,41.1675,7.0599,7.748,7.4623
bert_encoder_layer_10_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0590464,0.236186,1912953,1.84999,45.9457,6.48652,6482.26,6125.12
bert_encoder_layer_10_output_dense_bias,Bias,"768",768,12,1152,0.00130208,0.00520833,1317,0.874715,-14.3229,13.7188,2.3448,2.3364
bert_encoder_layer_10_output_LayerNorm_weight,Weight,"768",768,12,1152,93.8411,0.0108597,764,1.50785,33.6806,7.95833,2.2854,2.2058
bert_encoder_layer_10_output_LayerNorm_bias,Bias,"768",768,12,1152,11.625,8.21401,644,1.78882,44.0972,6.70833,1.9175,1.8626
bert_encoder_layer_11_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0633731,0.253493,448557,1.31494,23.9507,6.08394,1381.31,1329.87
bert_encoder_layer_11_attention_self_query_bias,Bias,"768",768,12,1152,27.9518,7.48386,820,1.40488,28.8194,8.54167,2.3061,2.2093
bert_encoder_layer_11_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0637021,0.254808,447485,1.31809,24.1325,6.0694,1381.62,1323.59
bert_encoder_layer_11_attention_self_key_bias,Bias,"768",768,12,1152,28.0677,4.65205,757,1.5218,34.2882,7.88542,2.2169,2.1719
bert_encoder_layer_11_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0703837,0.281535,428829,1.37543,27.2954,5.81637,1368.9,1304.87
bert_encoder_layer_11_attention_self_value_bias,Bias,"768",768,12,1152,0.00260417,0.0104167,1412,0.815864,-22.5694,14.7083,2.397,2.3146
bert_encoder_layer_11_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00337897,0.0135159,1068702,0.82786,-20.7933,14.4952,1821.1,1766.53
bert_encoder_layer_11_attention_output_dense_bias,Bias,"768",768,12,1152,0.0078125,0.03125,1533,0.751468,-33.0729,15.9688,2.5157,2.4096
bert_encoder_layer_11_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,0.0690104,0.0740151,492,2.34146,57.2917,5.125,1.2852,1.4024
bert_encoder_layer_11_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,11.7956,6.41426,633,1.81991,45.0521,6.59375,1.9569,2.3129
bert_encoder_layer_11_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.00419744,0.0167898,4071551,0.869188,-15.0499,13.806,7183.57,7042.74
bert_encoder_layer_11_intermediate_dense_bias,Bias,"3072",3072,12,4608,195.755,4.89004,2535,1.81775,44.987,6.60156,6.8594,7.0152
bert_encoder_layer_11_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0223431,0.0893724,2624158,1.3486,25.8491,8.89811,7022.14,6750.61
bert_encoder_layer_11_output_dense_bias,Bias,"768",768,12,1152,0.00390625,0.015625,1331,0.865515,-15.5382,13.8646,2.3715,2.2883
bert_encoder_layer_11_output_LayerNorm_weight,Weight,"768",768,12,1152,88.862,0.00376834,766,1.50392,33.5069,7.97917,2.2955,2.2072
bert_encoder_layer_11_output_LayerNorm_bias,Bias,"768",768,12,1152,141.546,8.23987,727,1.58459,36.8924,7.57292,2.0748,2.0891
bert_pooler_dense_weight,Weight,"768x768",589824,12,884736,0.00810411,0.0324164,904942,0.977671,-2.28385,12.2741,1839.33,1763.9
bert_pooler_dense_bias,Bias,"768",768,12,1152,34.306,7.84773,844,1.36493,26.7361,8.79167,2.2783,2.1765
classifier_weight,Weight,"2x768",1536,8,1536,0.0963542,0.385417,997,1.54062,35.0911,5.19271,3.2501,3.1465
classifier_bias,Bias,"2",2,12,3,0,0,6,0.5,-100,24,0.0064,0.0162
