tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,MEAN,57,2587,0.0006726100050153254,0.9933201792621361
weight,MEAN,58,2267,0.0005894112413489536,0.9939095905034852
weight,MEAN,59,2066,0.0005371520179210137,0.9944467425214061
weight,MEAN,60,1838,0.0004778728988087237,0.9949246154202148
weight,MEAN,61,1785,0.00046409310357648084,0.9953887085237914
weight,MEAN,62,1613,0.00041937376810580597,0.9958080822918971
weight,MEAN,63,1450,0.00037699439786324773,0.9961850766897604
weight,MEAN,64,1329,0.00034553486535190086,0.9965306115551122
weight,MEAN,65,1192,0.0003099153946572354,0.9968405269497695
weight,MEAN,66,1061,0.0002758559007813144,0.9971163828505508
weight,MEAN,67,972,0.0002527162446366047,0.9973690990951875
weight,MEAN,68,836,0.00021735677007839662,0.9975864558652658
weight,MEAN,69,878,0.00022827660780960795,0.9978147324730755
weight,MEAN,70,737,0.00019161715256911283,0.9980063496256446
weight,MEAN,71,696,0.00018095731097435893,0.998187306936619
weight,MEAN,72,628,0.00016327757369525488,0.9983505845103142
weight,MEAN,73,535,0.00013909793300471556,0.9984896824433189
weight,MEAN,74,512,0.00013311802186619507,0.998622800465185
weight,MEAN,75,478,0.00012427815322664306,0.9987470786184117
weight,MEAN,76,399,0.00010373845844650748,0.9988508170768582
weight,MEAN,77,346,8.995866321426463e-05,0.9989407757400725
weight,MEAN,78,370,9.619857048924253e-05,0.9990369743105617
weight,MEAN,79,343,8.91786748048924e-05,0.9991261529853667
weight,MEAN,80,285,7.409889889036249e-05,0.999200251884257
weight,MEAN,81,243,6.317906115915117e-05,0.9992634309454161
weight,MEAN,82,251,6.525903025081048e-05,0.9993286899756669
weight,MEAN,83,208,5.4079196383141745e-05,0.9993827691720502
weight,MEAN,84,193,5.017925433628056e-05,0.9994329484263864
weight,MEAN,85,176,4.5759320016504554e-05,0.9994787077464029
weight,MEAN,86,146,3.7959435922782186e-05,0.9995166671823257
weight,MEAN,87,144,3.7439443649867364e-05,0.9995541066259755
weight,MEAN,88,137,3.561947069466548e-05,0.9995897260966702
weight,MEAN,89,133,3.457948614883583e-05,0.999624305582819
weight,MEAN,90,101,2.6259609782198636e-05,0.9996505651926012
weight,MEAN,91,107,2.781958660094311e-05,0.9996783847792022
weight,MEAN,92,86,2.2359667735337452e-05,0.9997007444469376
weight,MEAN,93,103,2.677960205511346e-05,0.9997275240489927
weight,MEAN,94,79,2.053969478013557e-05,0.9997480637437728
weight,MEAN,95,69,1.7939733415561446e-05,0.9997660034771884
weight,MEAN,96,67,1.741974114264662e-05,0.999783423218331
weight,MEAN,97,58,1.507977591452991e-05,0.9997985029942456
weight,MEAN,98,65,1.6899748869731795e-05,0.9998154027431152
weight,MEAN,99,37,9.619857048924254e-06,0.9998250226001641
weight,MEAN,100,49,1.27398106864132e-05,0.9998377624108505
weight,MEAN,101,37,9.619857048924254e-06,0.9998473822678995
weight,MEAN,102,46,1.1959822277040964e-05,0.9998593420901766
weight,MEAN,103,39,1.0139849321839077e-05,0.9998694819394984
weight,MEAN,104,27,7.019895684350131e-06,0.9998765018351827
weight,MEAN,105,19,4.939926592690832e-06,0.9998814417617754
weight,MEAN,106,34,8.839868639552016e-06,0.9998902816304149
weight,MEAN,107,29,7.539887957264955e-06,0.9998978215183723
weight,MEAN,108,20,5.199922729148245e-06,0.9999030214411014
weight,MEAN,109,23,5.979911138520482e-06,0.9999090013522399
weight,MEAN,110,24,6.239907274977894e-06,0.9999152412595149
weight,MEAN,111,15,3.8999420468611835e-06,0.9999191412015618
weight,MEAN,112,18,4.6799304562334205e-06,0.9999238211320179
weight,MEAN,113,17,4.419934319776008e-06,0.9999282410663377
weight,MEAN,114,18,4.6799304562334205e-06,0.999932920996794
weight,MEAN,115,17,4.419934319776008e-06,0.9999373409311137
weight,MEAN,116,14,3.6399459104037713e-06,0.9999409808770242
weight,MEAN,117,13,3.379949773946359e-06,0.9999443608267982
weight,MEAN,118,14,3.6399459104037713e-06,0.9999480007727085
weight,MEAN,119,8,2.079969091659298e-06,0.9999500807418001
weight,MEAN,120,12,3.119953637488947e-06,0.9999532006954377
weight,MEAN,121,9,2.3399652281167102e-06,0.9999555406606658
weight,MEAN,122,16,4.159938183318596e-06,0.9999597005988491
weight,MEAN,123,7,1.8199729552018856e-06,0.9999615205718043
weight,MEAN,124,19,4.939926592690832e-06,0.999966460498397
