tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,MEAN,63,333,0.00020178736338450127,0.99756703824628
weight,MEAN,64,302,0.0001830023535799381,0.9977500405998599
weight,MEAN,65,252,0.0001527039506693523,0.9979027445505293
weight,MEAN,66,237,0.0001436144297961766,0.9980463589803255
weight,MEAN,67,246,0.00014906814232008202,0.9981954271226455
weight,MEAN,68,210,0.00012725329222446026,0.9983226804148699
weight,MEAN,69,236,0.00014300846173796486,0.9984656888766079
weight,MEAN,70,212,0.0001284652283408837,0.9985941541049488
weight,MEAN,71,178,0.00010786231436168537,0.9987020164193106
weight,MEAN,72,166,0.00010059069766314478,0.9988026071169737
weight,MEAN,73,135,8.18056878585816e-05,0.9988844128048322
weight,MEAN,74,110,6.66564864032887e-05,0.9989510692912356
weight,MEAN,75,118,7.150423086898243e-05,0.9990225735221046
weight,MEAN,76,93,5.635502941368955e-05,0.9990789285515181
weight,MEAN,77,92,5.574906135547783e-05,0.9991346776128737
weight,MEAN,78,100,6.059680582117156e-05,0.9991952744186948
weight,MEAN,79,85,5.150728494799582e-05,0.9992467817036428
weight,MEAN,80,71,4.30237321330318e-05,0.9992898054357758
weight,MEAN,81,79,4.787147659872553e-05,0.9993376769123746
weight,MEAN,82,77,4.66595404823021e-05,0.9993843364528568
weight,MEAN,83,68,4.1205827958396656e-05,0.9994255422808153
weight,MEAN,84,83,5.029534883157239e-05,0.9994758376296469
weight,MEAN,85,60,3.635808349270293e-05,0.9995121957131395
weight,MEAN,86,42,2.5450658444892053e-05,0.9995376463715845
weight,MEAN,87,48,2.9086466794162347e-05,0.9995667328383786
weight,MEAN,88,46,2.7874530677738916e-05,0.9995946073690564
weight,MEAN,89,58,3.51461473762795e-05,0.9996297535164327
weight,MEAN,90,38,2.302678621204519e-05,0.9996527803026447
weight,MEAN,91,38,2.302678621204519e-05,0.9996758070888567
weight,MEAN,92,33,1.9996945920986613e-05,0.9996958040347778
weight,MEAN,93,27,1.636113757171632e-05,0.9997121651723494
weight,MEAN,94,26,1.5755169513504603e-05,0.999727920341863
weight,MEAN,95,32,1.9390977862774897e-05,0.9997473113197257
weight,MEAN,96,36,2.181485009562176e-05,0.9997691261698214
weight,MEAN,97,25,1.514920145529289e-05,0.9997842753712767
weight,MEAN,98,15,9.089520873175733e-06,0.9997933648921498
weight,MEAN,99,18,1.090742504781088e-05,0.9998042723171976
weight,MEAN,100,21,1.2725329222446027e-05,0.9998169976464201
weight,MEAN,101,21,1.2725329222446027e-05,0.9998297229756425
weight,MEAN,102,19,1.1513393106022595e-05,0.9998412363687486
weight,MEAN,103,18,1.090742504781088e-05,0.9998521437937964
weight,MEAN,104,8,4.847744465693724e-06,0.999856991538262
weight,MEAN,105,13,7.877584756752302e-06,0.9998648691230188
weight,MEAN,106,11,6.665648640328871e-06,0.9998715347716591
weight,MEAN,107,9,5.45371252390544e-06,0.999876988484183
weight,MEAN,108,11,6.665648640328871e-06,0.9998836541328233
weight,MEAN,109,13,7.877584756752302e-06,0.99989153171758
weight,MEAN,110,12,7.271616698540587e-06,0.9998988033342786
weight,MEAN,111,6,3.6358083492702934e-06,0.9999024391426279
weight,MEAN,112,9,5.45371252390544e-06,0.9999078928551518
weight,MEAN,113,6,3.6358083492702934e-06,0.9999115286635011
weight,MEAN,114,8,4.847744465693724e-06,0.9999163764079668
weight,MEAN,115,6,3.6358083492702934e-06,0.9999200122163161
weight,MEAN,116,4,2.423872232846862e-06,0.9999224360885489
weight,MEAN,117,10,6.0596805821171555e-06,0.999928495769131
weight,MEAN,118,6,3.6358083492702934e-06,0.9999321315774803
weight,MEAN,119,6,3.6358083492702934e-06,0.9999357673858296
weight,MEAN,120,7,4.241776407482009e-06,0.999940009162237
weight,MEAN,121,4,2.423872232846862e-06,0.9999424330344698
weight,MEAN,122,8,4.847744465693724e-06,0.9999472807789356
weight,MEAN,123,3,1.8179041746351467e-06,0.9999490986831102
weight,MEAN,124,9,5.45371252390544e-06,0.9999545523956341
weight,MEAN,125,19,1.1513393106022595e-05,0.9999660657887401
weight,MEAN,126,2,1.211936116423431e-06,0.9999672777248566
weight,MEAN,127,27,1.636113757171632e-05,0.9999836388624282
weight,MEAN,128,22,1.3331297280657742e-05,0.9999969701597089
weight,MEAN,129,5,3.0298402910585778e-06,1.0
weight,NEIGHBOR,0,406017,0.07532749390355219,0.07532749390355219
weight,NEIGHBOR,1,394038,0.07310505481979301,0.14843254872334521
weight,NEIGHBOR,2,375839,0.06972863200609125,0.21816118072943647
weight,NEIGHBOR,3,353434,0.06557187871519682,0.2837330594446333
weight,NEIGHBOR,4,333984,0.061963360459990534,0.3456964199046238
weight,NEIGHBOR,5,309670,0.05745243434908639,0.40314885425371016
weight,NEIGHBOR,6,285045,0.05288380905168511,0.4560326633053953
weight,NEIGHBOR,7,259197,0.048088283094843365,0.5041209464002386
weight,NEIGHBOR,8,235021,0.04360295983839775,0.5477239062386364
weight,NEIGHBOR,9,212317,0.03939073369617649,0.5871146399348129
weight,NEIGHBOR,10,192853,0.035779618049938185,0.6228942579847511
weight,NEIGHBOR,11,175091,0.03248427094202178,0.6553785289267728
weight,NEIGHBOR,12,158373,0.029382614993922106,0.684761143920695
weight,NEIGHBOR,13,143234,0.026573907648648688,0.7113350515693436
weight,NEIGHBOR,14,129382,0.024003974750390723,0.7353390263197344
weight,NEIGHBOR,15,118241,0.021937008072691326,0.7572760343924257
weight,NEIGHBOR,16,107874,0.02001364001347675,0.7772896744059025
weight,NEIGHBOR,17,98219,0.018222367841033732,0.7955120422469362
weight,NEIGHBOR,18,89823,0.016664675333542114,0.8121767175804783
weight,NEIGHBOR,19,81766,0.015169876794611676,0.82734659437509
weight,NEIGHBOR,20,75394,0.013987692819178542,0.8413342871942685
weight,NEIGHBOR,21,68511,0.012710704071076492,0.854044991265345
weight,NEIGHBOR,22,62665,0.011626107787275158,0.8656710990526202
weight,NEIGHBOR,23,57809,0.010725184155024171,0.8763962832076444
weight,NEIGHBOR,24,52756,0.009787711520393972,0.8861839947280383
weight,NEIGHBOR,25,48927,0.00907732507313511,0.8952613198011734
weight,NEIGHBOR,26,45126,0.008372133407940298,0.9036334532091137
weight,NEIGHBOR,27,41539,0.007706644719949299,0.911340097929063
weight,NEIGHBOR,28,38297,0.007105163168104632,0.9184452610971676
weight,NEIGHBOR,29,35138,0.006519080434521257,0.9249643415316889
weight,NEIGHBOR,30,32143,0.005963424281598746,0.9309277658132876
weight,NEIGHBOR,31,29530,0.005478639798264349,0.936406405611552
weight,NEIGHBOR,32,27127,0.005032816180410328,0.9414392217919624
weight,NEIGHBOR,33,25381,0.004708884413130628,0.9461481062050929
weight,NEIGHBOR,34,23056,0.004277531973883604,0.9504256381789765
weight,NEIGHBOR,35,21479,0.003984954426919064,0.9544105926058957
weight,NEIGHBOR,36,19663,0.003648035704479238,0.9580586283103749
weight,NEIGHBOR,37,18398,0.0034133428719426854,0.9614719711823175
weight,NEIGHBOR,38,16627,0.0030847729063915113,0.9645567440887091
weight,NEIGHBOR,39,15413,0.0028595419983287644,0.9674162860870378
weight,NEIGHBOR,40,13987,0.0025949791689239233,0.9700112652559617
weight,NEIGHBOR,41,12944,0.002401473537038054,0.9724127387929998
weight,NEIGHBOR,42,11942,0.002215574550317401,0.9746283133433172
weight,NEIGHBOR,43,10953,0.0020320874266979145,0.9766604007700151
weight,NEIGHBOR,44,9886,0.0018341291244714309,0.9784945298944866
weight,NEIGHBOR,45,9214,0.0017094543549342265,0.9802039842494208
weight,NEIGHBOR,46,8304,0.0015406239378525958,0.9817446081872734
weight,NEIGHBOR,47,7806,0.0014482310282848462,0.9831928392155582
weight,NEIGHBOR,48,7213,0.0013382129652854979,0.9845310521808437
weight,NEIGHBOR,49,6646,0.0012330186284884817,0.9857640708093321
weight,NEIGHBOR,50,5969,0.0011074162192969827,0.9868714870286291
weight,NEIGHBOR,51,5558,0.0010311642397139605,0.9879026512683432
weight,NEIGHBOR,52,5211,0.00096678604770591,0.988869437316049
weight,NEIGHBOR,53,4624,0.0008578811522917152,0.9897273184683407
weight,NEIGHBOR,54,4538,0.0008419257502378468,0.9905692442185786
weight,NEIGHBOR,55,4022,0.0007461933379146364,0.9913154375564932
weight,NEIGHBOR,56,3595,0.0006669729114378712,0.9919824104679311
weight,NEIGHBOR,57,3492,0.0006478635345594008,0.9926302740024905
weight,NEIGHBOR,58,3152,0.0005847840380673629,0.9932150580405579
weight,NEIGHBOR,59,2745,0.0005092741702077765,0.9937243322107656
