tensor_name,tensor_type,num_weights,num_chunks,bitwidth,predictor,bestK,bits_per_element,skip_count,skip_total,skip_p1,ctx0_zeros,ctx0_ones,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_p1
roberta_encoder_layer_10_output_LayerNorm_weight,weight,768,1,8,2,1,6.163956,0,1,0.0,2,32,0.9411764705882353,17,335,0.9517045454545454,14,368,0.9633507853403142,383,352,0.47891156462585033,89,188,0.6787003610108303,81,167,0.6733870967741935,438,0,0.0,437,1,0.00228310502283105,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,297,438,0.5959183673469388
roberta_encoder_layer_10_output_dense_bias,bias,768,1,12,2,3,15.017461,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_10_output_dense_weight,weight,2359296,1152,8,0,1,6.032269,3,1152,0.0026041666666666665,4821,97936,0.9530834882295124,48386,1076849,0.9569992046105924,48447,1076713,0.9569421237868392,1125716,1125782,0.5000146569084227,281429,524889,0.6509702127448476,282214,527119,0.6513005153626504,1318138,0,0.0,1318048,90,6.82781317282409e-05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,933360,1318138,0.58544933195588
roberta_encoder_layer_11_attention_output_LayerNorm_bias,bias,768,1,12,2,3,14.441615,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_11_attention_output_LayerNorm_weight,weight,768,1,8,1,0,6.554626,0,1,0.0,9,68,0.8831168831168831,30,308,0.9112426035502958,37,316,0.8951841359773371,353,339,0.48988439306358383,158,230,0.5927835051546392,169,231,0.5775,159,0,0.0,158,1,0.006289308176100629,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,533,159,0.22976878612716764
roberta_encoder_layer_11_attention_output_dense_bias,bias,768,1,12,0,3,15.930008,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_11_attention_output_dense_weight,weight,589824,288,8,0,1,6.047794,0,288,0.0,993,22762,0.958198274047569,11217,271874,0.9603766986587352,11266,271712,0.9601877177731131,283113,283235,0.5001077076285252,66064,126693,0.6572679591402647,66324,126604,0.6562240835959529,346466,0,0.0,346313,153,0.00044160177333417997,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,219882,346466,0.6117546102396406
roberta_encoder_layer_11_attention_self_key_bias,bias,768,1,12,1,2,6.592367,0,1,0.0,0,3,1.0,2,688,0.9971014492753624,0,75,1.0,75,691,0.902088772845953,7,19,0.7307692307692307,82,512,0.8619528619528619,539,0,0.0,530,9,0.016697588126159554,520,19,0.03525046382189239,514,25,0.04638218923933209,0,0,0.0,0,0,0.0,227,539,0.7036553524804178
roberta_encoder_layer_11_attention_self_key_weight,weight,589824,288,8,0,1,7.322372,4,288,0.013888888888888888,197,11204,0.9827208139636874,5532,279546,0.9805947845852714,5391,279762,0.9810943598699645,285281,285231,0.4999561797122585,33038,66197,0.6670731092860382,33187,65685,0.6643437980419128,459930,0,0.0,458769,1161,0.002524297175657165,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,110582,459930,0.8061705976386123
roberta_encoder_layer_11_attention_self_query_bias,bias,768,1,12,0,3,16.032806,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
