id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
187,bert.encoder.layer.11.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,12683016,884772,2654532,1179648,12.00048828125,1.7918480693331162,0.3750305163364121,0.125,21.5030517578125
188,bert.encoder.layer.11.attention.output.dense.bias,Bias,12,768,0,9217,9217,16520,1153,3458,1536,12.001302083333334,1.7923402408592817,0.3751763046544429,0.12509493327546925,21.510416666666668
189,bert.encoder.layer.11.attention.output.LayerNorm.weight,Weight,12,768,3877,26,3903,52747,8330,16850,1572,5.08203125,13.514476044068665,4.317191903663848,2.1342557007430183,68.68098958333333
190,bert.encoder.layer.11.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,75150,1152,15705,9984,12.001302083333334,8.153412173158294,1.703916675707931,0.12498643810350439,97.8515625
191,bert.encoder.layer.11.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,224004711,3539088,45962365,30670848,12.00048828125,7.911809165242571,1.6233830933279987,0.125,94.94557317097981
192,bert.encoder.layer.11.intermediate.dense.bias,Bias,12,3072,0,36866,36866,303863,4609,63910,39936,12.000651041666666,8.242364238051321,1.7335756523626105,0.12502034394835349,98.91373697916667
193,bert.encoder.layer.11.output.dense.weight,Weight,12,2359296,6100854,24457184,30558038,265561990,15589014,63720332,26211647,12.952184889051649,8.690413631922311,2.0852232725150746,0.5101444667357243,112.55984412299262
194,bert.encoder.layer.11.output.dense.bias,Bias,12,768,0,9217,9217,72962,1153,14976,9984,12.001302083333334,7.916024736899208,1.624823695345557,0.12509493327546925,95.00260416666667
195,bert.encoder.layer.11.output.LayerNorm.weight,Weight,12,768,0,9217,9217,72096,1152,14687,9984,12.001302083333334,7.82206791797765,1.5934685906477162,0.12498643810350439,93.875
196,bert.encoder.layer.11.output.LayerNorm.bias,Bias,12,768,0,9217,9217,73875,1152,15280,9984,12.001302083333334,8.015080828903114,1.6578062276228709,0.12498643810350439,96.19140625
197,bert.pooler.dense.weight,Weight,12,589824,0,7078176,7078176,56013396,884772,11494664,7667712,12.00048828125,7.913535351480381,1.623958488740602,0.125,94.96628824869792
198,bert.pooler.dense.bias,Bias,12,768,0,9217,9217,73047,1152,15004,9984,12.001302083333334,7.92524682651622,1.6278615601605728,0.12498643810350439,95.11328125
199,classifier.weight,Weight,8,1536,7933,1367,9300,115058,16836,35072,3966,6.0546875,12.371827956989247,3.7711827956989246,1.8103225806451613,74.90755208333333
