id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
310,features.5.2.block.3.1.running_var,buffer,32,112,112,4,116,1929,280,618,2,1.0357142857142858,16.629310344827587,5.327586206896552,2.413793103448276,17.223214285714285
311,features.5.2.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
312,features.6.0.block.0.1.running_mean,buffer,32,672,1422,4,1426,21320,3276,6797,274,2.1220238095238093,14.950911640953716,4.76647966339411,2.297335203366059,31.726190476190474
313,features.6.0.block.0.1.running_var,buffer,32,672,5737,4720,10457,105987,12491,29347,4948,15.561011904761905,10.135507315673712,2.80644544324376,1.1945108539734148,157.71875
314,features.6.0.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
315,features.6.0.block.1.1.running_mean,buffer,32,672,778,10,788,12869,1905,4138,44,1.1726190476190477,16.331218274111674,5.251269035532995,2.41751269035533,19.15029761904762
316,features.6.0.block.1.1.running_var,buffer,32,672,747,6,753,12479,1834,4019,29,1.1205357142857142,16.572377158034527,5.337317397078353,2.4355909694555113,18.569940476190474
317,features.6.0.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
318,features.6.0.block.3.1.running_mean,buffer,32,192,853,29,882,11953,1843,3754,330,4.59375,13.552154195011338,4.2562358276643995,2.0895691609977325,62.255208333333336
319,features.6.0.block.3.1.running_var,buffer,32,192,934,57,991,13598,2016,4232,317,5.161458333333333,13.721493440968718,4.270433905146317,2.0343087790111,70.82291666666667
320,features.6.0.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
321,features.6.1.block.0.1.running_mean,buffer,32,1152,1152,4,1156,19609,2880,6338,2,1.0034722222222223,16.96280276816609,5.482698961937716,2.491349480968858,17.02170138888889
322,features.6.1.block.0.1.running_var,buffer,32,1152,9132,2683,11815,136121,19337,38957,4070,10.25607638888889,11.52103258569615,3.2972492594159966,1.6366483283961066,118.16059027777777
323,features.6.1.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
324,features.6.1.block.1.1.running_mean,buffer,32,1152,1158,4,1162,19689,2893,6363,4,1.0086805555555556,16.944061962134253,5.475903614457831,2.489672977624785,17.091145833333332
325,features.6.1.block.1.1.running_var,buffer,32,1152,1158,4,1162,19695,2893,6365,4,1.0086805555555556,16.94922547332186,5.477624784853701,2.489672977624785,17.096354166666668
326,features.6.1.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
